mtt,mu_pt,mu_abseta,pileup,weight,nevents,N_gen,gw_pos,gw_neg
1553.0528447094853,238.80727,0.8913574,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1752.7002149682799,238.80727,0.8913574,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1514.0536614124046,191.33742,0.20574951,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1415.6947909168834,191.33742,0.20574951,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1331.429275062287,183.06747,0.07017517,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
978.0279384422058,107.222404,0.26239014,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1201.0840229066732,107.222404,0.26239014,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1208.8038611041388,333.05786,0.86865234,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
284.96636034017234,130.72993,0.42596436,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
746.6371513929095,130.72993,0.42596436,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
680.1639120421064,130.72993,0.42596436,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1172.3581840182117,133.2316,0.4439087,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
992.3775003725345,232.99632,0.6760254,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
982.7638133234685,232.99632,0.6760254,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
769.0102696850818,171.24045,1.0527344,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1476.9731006710122,257.79657,0.14465332,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1136.6377210930518,257.79657,0.14465332,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1838.9779074010091,65.29426,0.54052734,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1047.7994697918527,65.29426,0.54052734,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1111.1153495877763,69.61441,0.6224365,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1057.5094334091452,134.26431,1.5368652,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1245.980154326032,134.26431,1.5368652,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1107.7967461256667,256.6744,1.1228027,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1381.5643308921303,244.30807,0.29986572,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1126.8868706663409,244.30807,0.29986572,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1998.1267070150643,247.29463,0.7492676,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
1237.6490566576206,247.29463,0.7492676,-999.0,-999.0,1752855.0,-999.0,-999.0,-999.0
